Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food Cost,Wood Cost,Gold Cost,Favor Cost,Pop Cost,Training Time,Hitpoints,Line of Sight,Attack Type,Rate of fire,Bonus Multiplier,Maximum range,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Hack Armor,Pierce Armor,Crush Armor,Range,Velocity,Description
,,,slinger,,,,55,25,,2,13,60,19,Ranged Attack,1, AbstractArcher:  3.00,17,,3,,,15,40,99,,4,Counter to ranged soldiers. Ranged soldier only good against other ranged soldiers.
,,,son of osiris (hero),,,,,,,0,,420,20,,,,,,,,,30,50,99,,3.6,w Hitpoints 420 & Crush Armor 99 % ¥ Hack Armor 30 % a Pierce Armor 50 %
,,,spearman,,,50,,25,,2,12,80,16,Melee Attack,1," AbstractCavalry:  1.50,  Building:  1.60",0.75,7,,,,40,15,99,,5,Counter cavalry. Infantry only good against cavalry.
,,,sphinx,,,,,120,20,3,17,300,16,Melee Attack,1.3," MythUnit:  3.00,  Hero:  0.50",1,15,,,9,45,60,80,,5.3,Myth unit. A fast unit that turns into a sand vortex to attack. Good against human soldiers and buildings.
,,,stymphalian bird,,,,200,50,25,3,10,400,17,Ranged Attack,1.8," MythUnit:  3.00,  Hero:  0.25",,,14,,,15,45,80,,3.8,Ranged myth unit. Attacks units from the air. Can only be attacked by ranged units. Good against human soldiers.
,,,taotie,,,,,260,20,3,20,650,18,Devour,2," MythUnit:  2.00,  Hero:  0.50",16,,,25,,55,50,80,,4.8,Myth unit that gains strength as it devours human soldiers with its special ability. Good against human soldiers.
,,,taowu,,,275,,,28,4,20,780,16,Melee Attack,2," MythUnit:  2.00,  Hero:  0.50",1.5,20,,,90,50,75,80,,3.2,Siege myth unit with high durability. Can charge to temporarily increase movement speed. Good against buildings.
,,,the argo (hero),,,,200,,4,4,25,480,20,Ranged Attack,2, MythUnit:  3.50,16,,16,,,25,40,15,,6,Trireme Hero. Good against myth units. Can transport units.
,,,theseus,,,100,50,,,2,5,190,16,Melee Attack,1, MythUnit:  12.00,0.75,1.62,,,,35,40,99,,4.3,
,,,throwing axeman,,,,50,40,,2,15,65,16,Ranged Attack,1.5, AbstractInfantry:  3.00,11,6,,,,30,15,99,,4,
,,,tiger cavalry (dismounted),,,,,,,2,,45,16,Melee Attack,1," AbstractCavalry:  1.50,  Building:  1.60",1,7,,,,15,20,99,,5,Infantry. Dismounted Tiger Cavalry.
,,,tiger cavalry,,,115,,50,,3,9,170,16,Melee Attack,1.2," AbstractArcher:  1.50,  AbstractCavalry:  1.50",1,13,,,,25,35,99,,5,"Elite, heavily armored cavalry who dismounts and fights on when felled. Good against cavalry and ranged soldiers."
,,,titan atlantean,,,,,,,10,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,,3.75,Myth unit. Powerful against all units and buildings.
,,,titan chinese,,,,,,,10,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,,3.75,Myth unit. Powerful against all units and buildings.
,,,titan egyptian,,,,,,,10,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,,3.75,Myth unit. Powerful against all units and buildings.
,,,titan greek,,,,,,,10,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,,3.75,Myth unit. Powerful against all units and buildings.
,,,titan norse,,,,,,,10,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,,3.75,Myth unit. Powerful against all units and buildings.
,,,toxotes,,,,55,35,,2,15,65,18,Ranged Attack,1.1, AbstractInfantry:  1.25,15,,6,,,15,15,99,,4,
,,,transport ship atlantean,,,,110,,,1,19,180,14,,,,,,,,,40,80,5,,5.3,Transports units. Has no attack. Right-click to enter.
,,,transport ship egyptian,,,,110,,,1,19,180,14,,,,,,,,,40,80,5,,5.3,Transports units. Has no attack. Right-click to enter.
,,,transport ship greek,,,,110,,,1,19,180,14,,,,,,,,,40,80,5,,5.3,Transports units. Has no attack. Right-click to enter.
,,,transport ship norse,,,,110,,,1,19,180,14,,,,,,,,,40,80,5,,5.3,
,,,trireme,,,,100,50,,3,16,305,20,Ranged Attack,1.5,,15,,8,,,50,30,5,,5.5,
,,,troll,,,,160,,15,2,15,250,16,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.25",14,,18,,,50,50,80,,3.5,Myth unit. A slow but strong ranged unit who throws rocks. Good against human soldiers.
,,,turma (hero),,,,80,70,2,2,,95,18,Ranged Attack,1.8," AbstractArcher:  4.00,  MythUnit:  8.00",14,,6.5,,,15,40,99,,5.3,
,,,turma,,,,45,40,,2,9,85,16,Ranged Attack,1.8, AbstractArcher:  4.00,14,,5.5,,,15,40,99,,5,
,,,valkyrie,,,200,,,18,3,17,375,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.50",1,14,,,,50,55,80,,6,Myth unit. A warrior maid that can heal allied units. Good against human soldiers.
,,,villager egyptian,,,50,,,,1,18,55,14,Ranged Attack,2,,12,,12,,,25,35,99,,3.8,
,,,villager greek,,,50,,,,1,18,55,14,Ranged Attack,2,,12,,12,,,25,35,99,,3.8,Villagers gather resources and construct buildings.
,,,wadjet,,,,150,,15,2,17,260,20,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.25",18,,12,,,25,25,80,,3.8,Myth unit. A magical cobra that can spit venom. Good against human soldiers.
,,,walking woods,,,,100,,10,0,,240,16,Melee Attack,2, Hero:  0.50,0.5,16,,,30,30,60,80,,3.5,
,,,war barge,,,,90,45,,3,12,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,10,60,10,,4.8,Siege ship. Good against arrow ships and buildings.
,,,war elephant,,,180,,70,,5,14,450,16,Melee Attack,1.4," Building:  4.00,  AbstractArcher:  1.50",0.75,20,,,,25,45,99,,2.9,
,,,war turtle,,,225,,,15,4,9,1320,16,Melee Attack,1.7," MythUnit:  2.00,  Hero:  0.50",2,60,,,40,40,70,80,,5.3,
,,,water carnivora,,,,,,25,0,,550,16,Melee Attack,1," AbstractVillager:  O.25,  Hero:  0.25",3,30,,,,35,30,30,,Immoveable,Myth unit. This living plant can sink ships or swallow soldiers.
,,,white horse cavalry,,,45,,85,,3,7,155,22,Melee Attack,1.2, AbstractArcher:  1.75,1,13,,,,10,40,99,,6,Cavalry. Unit with a ranged special attack. Good against ranged soldiers.
,,,wuzu javelineer,,,,75,10,,2,14,70,18,Ranged Attack,1.2, AbstractArcher:  3.50,16,,4.5,,,10,40,99,,4.75,Mobile ranged soldier. Good against other ranged soldiers.
,,,xuanwu,,,170,170,,15,4,12,1200,20,Melee Attack,1.7," MythUnit:  1.50,  Hero:  0.50",2,30,,,20,50,70,80,,6,Myth unit. Amphibious tortoise and snake duo with heavy armor. Good against human soldiers and ships.
,,,prodromos,,,70,,40,,3,12,145,16,Melee Attack,1.3, AbstractCavalry:  3.50,1,8,,,,20,10,99,,6,Counter cavalry. Cavalry only good against other cavalry.
,,,asura,,,250,,150,30,4,15,1000,18,Melee Attack,2," MythUnit:  2.00,  Hero:  0.25",5,30,,,30,45,65,80,,3.2,Myth unit. A towering giant who incinerates enemies. Good against human soldiers and buildings.
,,,bushi (hero),,,,60,50,2,3,20,80,20,Ranged Attack,1.5, MythUnit:  8.00,18,,8,,,15,25,99,,4.2,
,,,commoner,,,50,,,,1,18,55,14,Ranged Attack,2,,12,,12,,,25,35,99,,3.8,Japanese Commoners gather resources and construct buildings.
,,,daimyo (hero),,,50,,110,2,4,19,180,16,Melee Attack,1.5, MythUnit:  5.00,1,15,,,,20,50,99,,5.5,Cavalry hero. Good against myth units.
,,,deer caravan,,,100,25,,,1,18,115,16,,,,,,,,,30,30,99,,3.8,Task the Caravan on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.
,,,fishing ship japanese,,,,50,,,1,18,100,20,,,,,,,,,60,50,5,,4.8,
,,,hatamoto samurai,,,105,,75,,0,,190,16,Melee Attack,1.2," AbstractInfantry:  1.50,  Building:  1.60",0.5,,,16,,45,15,99,,4.2,
,,,honengyo,,,220,,,16,3,14,1000,22,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",3,40,,,10,50,50,80,,5.3,Naval myth unit. Good against ships. Dives into the depths to resurface on enemy ships.
,,,jorogumo,,,,,160,18,3,15,360,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.25",1,16,,,,45,55,80,,4,
,,,junkozosen,,,,100,50,,3,16,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,10,60,10,,5.2,Siege ship. Good against arrow ships and buildings.
,,,kitsune,,,25,,,8,1,15,100,15,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,1.5,,,,20,50,80,,6,
,,,masterless sword,,,,,,,0,,15,12,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,50,,,,20,30,80,,4,
,,,miko hero,,,50,,,,1,12,50,16,Melee Attack,2, MythUnit:  10.00,0.5,8,,,,25,35,99,,3.8,
,,,naginata rider,,,45,,70,,3,15,140,12,Melee Attack,1, AbstractArcher:  1.75,0.75,9,,,,20,50,99,,6,Cavalry. Good against ranged soldiers.
,,,oni,,,300,,,20,4,15,1100,16,Melee Attack,2.5," MythUnit:  2.00,  Hero:  0.50",1,40,,,60,40,50,80,,3.5,Siege myth unit. Giant that can enter a rampaging berserk state. Good against buildings and decent against human soldiers.
,,,onmoraki,,,,250,,30,4,24,550,20,Ranged Attack,1," MythUnit:  2.00,  Hero:  0.25",12,,40,,,45,55,80,,4.2,Ranged myth unit. Attacks units from the air. Can only be attacked by ranged units. Good against human soldiers.
,,,onmyoji (hero),,,,,250,5,3,18,120,22,Ranged Attack,1.5, MythUnit:  3.00,14,,,6,60,5,30,99,,3.8,Devastating sorcerer hero capable of powerful magic. Strong against buildings and myth units. Can heal allies.
,,,onna_musha (hero),,,130,,90,2,4,25,200,16,Melee Attack,1.5," MythUnit:  6.00,  Building:  1.60",0.75,16,,,,45,20,99,,4.3,Powerful infantry hero. Good against myth units.
,,,oyumi,,,,200,75,,3,15,105,34,Wall Breaching,3, Ship:  2.50,24,,25,,125,20,90,85,,2.4,"Ranged siege weapon. Strong against units and ships, decent against buildings."
,,,prodromos,,,70,,40,,3,12,145,16,Melee Attack,1.3, AbstractCavalry:  3.50,1,8,,,,20,10,99,,6,Counter cavalry. Cavalry only good against other cavalry.
,,,raiju,,,,,220,20,3,14,700,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.25",0.5,24,,,,45,50,80,,5.5,Myth unit. A lightning wolf that stuns enemies with electrical attacks. Good against human soldiers.
,,,ramming_wasen,,,,100,50,,3,16,320,16,Melee Attack,1.5,,2,25,,,,30,10,50,,7.4,
,,,samurai,,,105,,75,,4,20,190,16,Melee Attack,1.2," AbstractInfantry:  1.50,  Building:  1.60",0.5,16,,,,40,15,99,,4.2,Expensive but durable infantry. Good against whatever it can reach.
,,,shinigami (revenant),,,,275,,25,3,15,450,16,Charged Ranged Attack,3.3,,8,,,40,,35,50,80,,4.8,
,,,shinigami (vengeful),,,,275,,25,3,15,600,16,Charged Ranged Attack,3.3,,8,,,40,,35,50,80,,4.8,
,,,shinigami,,,,275,,25,3,15,300,16,Charged Ranged Attack,3.3,,8,,,40,,35,50,80,,4.8,"Myth unit. An undead spirit that shoots lightning at enemies and respawns when defeated, becoming more powerful. Good against human soldiers."
,,,shinobi,,,65,,90,,4,17,100,16,Melee Attack,1.2," AbstractArcher:  2.50,  Building:  1.60",0.5,4,,,,10,60,99,,5,Infantry. Good against ranged soldiers and buildings.
,,,shogun (hero),,,250,,250,10,0,,450,16,Melee Attack,1.5, MythUnit:  3.00,1,20,,,,30,60,99,,5.5,Devastating Cavalry hero that summons Samurai as it deals damage. Good against everything.
,,,tengu,,,,200,,15,3,20,600,16,Melee Attack,0.8," MythUnit:  3.00,  Hero:  0.50",0.5,16,,,,35,55,80,,5.3,
,,,titan japanese,,,,,,,10,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,,3.75,Myth unit. Powerful against all units and buildings.
,,,transport ship japanese,,,,110,,,1,19,180,14,,,,,,,,,40,80,5,,5.3,Transports units. Has no attack. Right-click to enter.
,,,umibozu,,,,225,,15,4,25,1200,30,Melee Attack,3," MythUnit:  2.00,  Hero:  0.25",1,80,,,40,65,60,80,,2.8,Myth unit. A massive dark humanoid that can teleport between any bodies of water. Good against ships and decent against human soldiers.
,,,wanyudo,,,,140,,16,2,15,300,16,Ranged Attack,1.8," MythUnit:  2.00,  Hero:  0.25",6,,,,35,20,65,80,,4,Myth unit. A flaming demonic wheel that breathes fire at enemies. Great against buildings and decent against human soldiers.
,,,wasen,,,,100,50,,3,16,290,20,Ranged Attack,1.5,,15,,8,,,50,30,5,,5.9,
,,,wretch,,,,,25,5,0,,80,16,Melee Attack,0.9, Hero:  0.25,0.5,4,,,,25,30,80,,4,
,,,yari spearman,,,55,,25,,2,10,105,16,Melee Attack,1," AbstractCavalry:  3.00,  Building:  1.60",0.75,6,,,,40,10,99,,4.8,Counter cavalry. Infantry only good against cavalry.
,,,yumi archer,,,,50,40,,2,15,65,20,Ranged Attack,1.5, AbstractInfantry:  1.25,18,,8,,,15,15,99,,4,
,,,yumi horse archer,,,,75,45,,3,16,90,17,Ranged Attack,1,,15,,9,,,10,25,99,,5,Fast mounted ranged soldier. Good against infantry.
,,,Prodromos,,,70,,40,,3,12,145,16,Melee Attack,1.3, AbstractCavalry:  3.50,1,8,,,,20,10,99,,6,
,,,arcus (hero),,,,,,,,,,,,,,,,,,,,,,,,
,,,champiom of freyr (legend),,,,,,,,,,,,,,,,,,,,,,,,Builds:
,,,cyclops,,,,,,,,,,,,,,,,,,,,,,,,
,,,einheri,,,,,,,,,,,,,,,,,,,,,,,,Myth unit. Slow-moving unit that can boost the speed and attack of nearby units with a horn blast. Good against human soldiers and buildings.
,,,fishing ship atlantean,,,,,,,,,,,,,,,,,,,,,,,,
,,,godi (hero),,,,,,,,,,,,,,,,,,,,,,,,
,,,jiang ziya (hero),,,,,,,,,,,,,,,,,,,,,,,,
,,,laborer,,,,,,,,,,,,,,,,,,,,,,,,Egyptian Laborers gather resources and construct buildings.
,,,li Jing (hero),,,,,,,,,,,,,,,,,,,,,,,,"Ranged hero who uses his Golden Pagoda to trap enemy units. Good against everything, but especially myth units. Collects Relics."
,,,miko (hero),,,,,,,,,,,,,,,,,,,,,,,,Priestess that can build Shrines and work at them to earn Favor. Heals allies.
,,,minion other,,,,,,,,,,,,,,,,,,,,,,,,
,,,nezha (hero)(youth),,,,,,,,,,,,,,,,,,,,,,,,"Hero. Good against everything, but especially myth units. Collects Relics. Nezha's combat ability increases through the Ages."
,,,nezha (hero) (child),,,,,,,,,,,,,,,,,,,,,,,,"Hero. Good against everything, but especially myth units. Collects Relics. Nezha's combat ability increases through the Ages."
,,,odysseus (hero),,,,,,,,,,,,,,,,,,,,,,,,Hero. Has a ranged attack that is good against myth units.
,,,oracle (hero),,,,,,,,,,,,,,,,,,,,,,,,Scout hero whose line of sight grows when immobile. Generates Favor faster than normal Oracles.
,,,pharaoh (hero) (new kingdom),,,,,,,,,,,,,,,,,,,,,,,,
,,,pharaoh (hero),,,,,,,,,,,,,,,,,,,,,,,,
,,,qiongqi,,,,,,,,,,,,,,,,,,,,,,,,
,,,ramming galley,,,,,,,,,,,,,,,,,,,,,,,,Close-combat ship. Good against siege ships.
,,,ramming wasen,,,,,,,,,,,,,,,,,,,,,,,,
,,,revenant shimigami,,,,,,,,,,,,,,,,,,,,,,,,"Myth unit. An undead spirit that shoots lightning at enemies and respawns when defeated, becoming more powerful. Good against human soldiers."
,,,scorpion man,,,,,,,,,,,,,,,,,,,,,,,,Myth unit. Poisons enemy units with its venomous tail. Good against human soldiers.
,,,transport ship chinese,,,,,,,,,,,,,,,,,,,,,,,,Transports units. Has no attack. Right-click to enter.
,,,vengeful shinigami,,,,,,,,,,,,,,,,,,,,,,,,"Myth unit. An undead spirit that shoots lightning at enemies and respawns when defeated, becoming more powerful. Good against human soldiers."
,,,wen zhong (hero),,,,,,,,,,,,,,,,,,,,,,,,"Cavalry Hero that harnesses celestial powers to inflict a large area attack. Good against everything, but especially myth units. Switches to a ranged"
,,,yang jian (hero),,,,,,,,,,,,,,,,,,,,,,,,"Hero that summons his faithful companion to aid him in battle. Good against everything, but especially myth units. Switches to a ranged attack to"
,,,yazi,,,,,,,,,,,,,,,,,,,,,,,,
,,,yinglong,,,,,,,,,,,,,,,,,,,,,,,,
,,,zhuque,,,,,,,,,,,,,,,,,,,,,,,,
