Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food Cost,Wood Cost,Gold Cost,Favor Cost,Pop Cost,Training Time,Buildpoints,Hitpoints,Line of Sight,Attack Type,Rate of fire,Bonus Multiplier,Maximum range,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Hack Armor,Pierce Armor,Crush Armor,Range,Velocity,Description
unit,,,nezha (hero) (youth),,,,,300,5,0,10,,300,18,Melee Attack,1.2, MythUnit:  6.50,0.75,12,,,,30,30,99,,5,"Hero. Good against everything, but especially myth units. Collects Relics. Nezha's combat ability increases through the Ages."
unit,,,nezha (hero),,,,,450,5,0,15,,400,22,Melee Attack,1.2, MythUnit:  6.50,1,15,,,,30,30,99,,5,"Hero. Good against everything, but especially myth units. Collects Relics. Nezha's combat ability increases through the Ages."
unit,,,nidhogg,,,,,,,0,,,2800,40,Ranged Attack,2, Hero:  0.10,4,40,,,50,50,50,80,,4.3,Myth unit. The fire-breathing dragon that lives beneath the roots of the world. He can only be attacked by ranged units. Good against everything.
unit,,,odysseus (hero),,,,250,100,4,2,25,,350,20,Ranged Attack,1.2, MythUnit:  6.50,18,,11,,,25,35,99,,4.3,Hero. Has a ranged attack that is good against myth units.
unit,,,oni,,,300,,,20,4,15,,1100,16,Melee Attack,2.5," MythUnit:  2.00,  Hero:  0.50",1,40,,,60,40,50,80,,3.5,Siege myth unit. Giant that can enter a rampaging berserk state. Good against buildings and decent against human soldiers.
unit,,,onmoraki,,,,250,,30,4,24,,550,20,Ranged Attack,1," MythUnit:  2.00,  Hero:  0.25",12,,40,,,45,55,80,,4.2,Ranged myth unit. Attacks units from the air. Can only be attacked by ranged units. Good against human soldiers.
unit,,,onmyoji (hero),,,,,250,5,3,18,,120,22,Ranged Attack,1.5, MythUnit:  3.00,14,,,6,60,5,30,99,,3.8,Devastating sorcerer hero capable of powerful magic. Strong against buildings and myth units. Can heal allies.
,,,onna-musha (hero),,,,,,,,,,,,,,,,,,,,,,,,,
unit,,,oracle (hero),,,30,,45,1,1,12,,105,3,Melee Attack,1.5, MythUnit:  6.00,0.5,0.9,,,,20,50,99,,4.2,Scout hero whose line of sight grows when immobile. Generates Favor faster than normal Oracles.
unit,,,oracle,,,40,,60,,1,12,,90,3,Melee Attack,1.5,,,,,,,15,45,99,,3.5,Scout whose line of sight grows when immobile. Cannot attack. Generates Favor.
unit,,,ox caravan,,,100,25,,,1,18,,115,16,,,,,,,,,30,30,99,,3.8,Task the Caravan on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.
unit,,,ox cart,,,50,50,,,0,,,120,6,,,,,,,,,30,40,99,,3.8,"Norse mobile drop site for Food, Gold, and Wood."
unit,,,oyumi,,,,200,75,,3,15,,105,34,Wall Breaching,3, Ship:  2.50,24,,25,,125,20,90,85,,2.4,"Ranged siege weapon. Strong against units and ships, decent against buildings."
unit,,,peasant,,,40,,,,1,18,,50,14,Ranged Attack,2,,12,,12,,,25,35,99,,3.8,Chinese Peasants gather resources and construct buildings.
unit,,,pegasus,,,50,,,2,2,6,,100,18,,,,,,,,,50,50,80,,5,"Myth unit. Flying scout with no attack, but can only be attacked by ranged units."
unit,,,peltast,,,,70,25,,2,10,,65,20,Ranged Attack,1.5, AbstractArcher:  4.00,18,,5,,,10,40,99,,4,Counter to ranged soldiers. Ranged soldier only good against other ranged soldiers.
unit,,,pentekonter,,,,100,50,,3,16,,335,16,Melee Attack,1.5,,2,25,,,,30,10,50,,7,Close-combat ship. Good against siege ships.
unit,,,perseus (hero),,,,,400,6,4,30,,480,16,Melee Attack,1.5, MythUnit:  7.00,0.75,18,,9,,20,40,99,,4.3,"Tiryns and Mycenae, establishing a family whose descendants included Heracles."
unit,,,petrobolos,,,,125,150,,3,15,,110,36,Wall Breaching,4, Ship:  2.50,,,10,,55,30,90,85,,2.4,Ranged siege weapon. Good against buildings and ships.
unit,,,petsuchos,,,,,200,15,3,20,,480,22,,,,,,,,,40,45,80,,3.6,Myth unit. A bejeweled crocodile that fires a focused ray of sunlight. Good against human soldiers.
unit,,,pharaoh (hero) (new kingdom),,,,,,,0,,,100,16,Ranged Attack,1, MythUnit:  2.50,3,,12,,,15,30,99,,4,"Hero who empowers buildings, heals units, collects Relics, and has a ranged attack that is strong against myth units. A successor will replace him if he dies."
unit,,,pharaoh (hero),,,,,,,0,,,100,18,Ranged Attack,1, MythUnit:  2.50,3,,1.2,,,15,30,99,,4,"Hero who empowers buildings, heals units, collects Relics, and has a ranged attack that is strong against myth units. A successor will replace him if he dies."
unit,,,phoenix,,,,,200,25,4,6,,500,16,Ranged Attack,2.7," MythUnit:  2.00,  Hero:  0.25",4,50,,,65,15,55,80,,4.5,Myth unit. Breathes fire from the air and can only be attacked by ranged units. Can re-hatch from an egg if killed.
unit,,,pioneer (hero),,,,75,30,,2,12,,90,12,Ranged Attack,1.5, MythUnit:  11.00,4,,0.5,,,15,30,99,,4,"Ranged Soldier, Hero. Uses Sky Lanterns to scout. Decent against myth units."
unit,,,pixiu,,,150,50,,5,1,20,,180,16,,,,,,,,,45,45,80,,3.8,Myth unit. Task Pixiu on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.
unit,,,polyphemus (hero),,,,,400,6,4,30,,700,20,Melee Attack,1.5, MythUnit:  4.00,0.75,25,,,15,40,40,99,,4.1,Cyclops Hero with a powerful area attack. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.
unit,,,portable ram,,,,125,125,,3,13,,275,14,Wall Breaching,1,,2,5,,,60,10,90,85,,3.5,Siege weapon. These soldiers carry a ram to knock down walls or other buildings.
unit,,,priest (hero),,,,,100,,2,10,,80,12,Ranged Attack,0.8, MythUnit:  5.00,5,,0.5,,,10,1,99,,3.6,"Hero. Has a ranged attack that is strong against myth units, heals allied units, and constructs Obelisks. Priests' combat ability increases in later ages."
unit,,,prodromos,,,70,,40,,3,12,,145,16,Melee Attack,1.3, AbstractCavalry:  3.50,1,8,,,,20,10,99,,6,Counter cavalry. Cavalry only good against other cavalry.
unit,,,promethean offspring,,,45,,,4,1,,,80,12,Melee Attack,1.1," MythUnit:  1.50,  Hero:  0.50",0.5,6,,,3,15,35,80,,5.5,"Promethean Offspring are not as tough as Prometheans, but their small size makes them harder to hit with missiles. They make decent scouts, but are very vulnerable to heroes."
unit,,,promethean,,,90,,,9,2,14,,175,16,Melee Attack,1.1," MythUnit:  3.00,  Hero:  0.50",0.75,12,,,6,55,25,80,,4.3,Myth unit. Men of clay that divide in two when killed. Good against human soldiers.
unit,,,qilin,,,220,,,18,3,16,,290,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.25",1,12,,,,35,60,80,,5.3,Myth unit. Heals nearby units. Good against human soldiers and other myth units.
unit,,,qinglong,,,,325,,26,4,15,,600,18,Charged Ranged Attack,2.4," MythUnit:  2.00,  Hero:  0.25",12,,35,,,35,55,80,,4.3,"The Azure Dragon, known as Qinglong in Chinese mythology, represents the direction of the East and the spring season. Alongside Baihu, Qinglong is also considered one of the protection deities in Chinese mythology."
unit,,,qiongqi (air),,,,,200,15,3,18,,400,16,,,,,,,,,45,55,80,,5,"Myth unit. Qiongqi in flight mode. Cannot attack, but can only be attacked by ranged units."
unit,,,qiongqi,,,,,200,15,3,18,,400,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,16,,,6,45,55,80,,5,Myth unit that can take flight. Good against human soldiers.
unit,,,raiding cavalry,,,40,,50,,2,10,,105,12,Melee Attack,1, AbstractArcher:  1.75,0.75,8,,,,20,40,99,,6,Counter to ranged soldiers. Cavalry only good against ranged soldiers and siege engines.
unit,,,raiju,,,,,220,20,3,14,,700,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.25",0.5,24,,,,45,50,80,,5.5,Myth unit. A lightning wolf that stuns enemies with electrical attacks. Good against human soldiers.
,,,ramming-galley,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ramming-wasen,,,,,,,,,,,,,,,,,,,,,,,,,
unit,,,revenant shimigami,,,,275,,25,3,15,,450,16,Charged Ranged Attack,3.3,,8,,,40,,35,50,80,,4.8,"Myth unit. An undead spirit that shoots lightning at enemies and respawns when defeated, becoming more powerful. Good against human soldiers."
unit,,,roc,,,,,100,5,3,14,,700,16,,,,,,,,,,25,80,,5.3,Polo tells of rocs from Madagascar and how an envoy from there presented a huge roc feather to the Chinese court. A very large flightless bird may actually have survived on the island until the 16th century before going extinct.
unit,,,rock giant,,,,260,,24,4,14,,850,16,Melee Attack,3.5, Hero:  0.50,1,50,,,36,60,75,40,,3.2,Myth unit. Primordial damage-absorbing giant with rock-solid durability. Good against human soldiers and buildings.
unit,,,sage (hero),,,100,,150,5,3,20,,110,20,Ranged Attack,1, MythUnit:  4.00,13,,3,2,,5,25,99,,3.6,Intelligent ranged hero who specifically targets myth units by itself. Can heal allied units and summon mirror images of enemy myth units. Collects Relics.
unit,,,samurai,,,105,,75,,4,20,,190,16,Melee Attack,1.2," AbstractInfantry:  1.50,  Building:  1.60",0.5,16,,,,40,15,99,,4.2,Expensive but durable infantry. Good against whatever it can reach.
unit,,,satyr,,,,250,,20,3,15,,400,20,Ranged Attack,1," MythUnit:  3.00,  Hero:  0.25",18,,20,,,50,50,80,,3.75,Ranged myth unit. Can throw powerful piercing spears. Good against human soldiers.
unit,,,scarab,,,240,,,18,4,20,,900,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,15,,,95,5,75,80,,3.2,Diet -- most eat dung. Sekhmet's scarabs eat buildings.
unit,,,scorpion man,,,,200,,24,3,20,,550,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.50",1,30,,,,50,40,80,,5,Myth unit. Poisons enemy units with its venomous tail. Good against human soldiers.
unit,,,scylla,,,,,200,20,4,15,,800,16,Melee Attack,1.5," MythUnit:  1.50,  Hero:  0.50",2,30,,,15,40,65,80,,5.3,Myth unit that grows heads as it fights enemy units. Good against human soldiers and ships.
unit,,,sea snake,,,,,,,0,,,50,16,Melee Attack,1.3,,3,9,,,,5,20,50,,5.3,Deadly sea snakes summoned by Anubis to defend this area. Strikes at the enemies of its master. Good against ships.
unit,,,serpent,,,,,,,0,,,60,16,Melee Attack,1.2," AbstractVillager:  O.10,  OxCart:  O.10",0.75,5,,,,15,10,99,,4,Deadly cobra summoned by Anubis to defend this area. Strikes at the enemies of its master. Good against human soldiers.
unit,,,servant,,,,,125,12,2,15,,300,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",0.5,8,,,4,25,30,80,,5.5,"Myth unit. Can heal allied units, especially ships."
unit,,,shinigami,,,,275,,25,3,15,,300,16,Charged Ranged Attack,3.3,,8,,,40,,35,50,80,,4.8,"Myth unit. An undead spirit that shoots lightning at enemies and respawns when defeated, becoming more powerful. Good against human soldiers."
unit,,,shinobi,,,65,,90,,4,17,,100,16,Melee Attack,1.2," AbstractArcher:  2.50,  Building:  1.60",0.5,4,,,,10,60,99,,5,Infantry. Good against ranged soldiers and buildings.
unit,,,shogun (hero),,,250,,250,10,0,,,450,16,Melee Attack,1.5, MythUnit:  3.00,1,20,,,,30,60,99,,5.5,Devastating Cavalry hero that summons Samurai as it deals damage. Good against everything.
unit,,,siege bireme,,,,100,50,,3,16,,250,24,Flame Attack,2, AbstractArcherShip:  2.00,21,,2,,4,10,60,10,,4.8,Siege ship. Good against arrow ships and buildings.
unit,,,siege crossbow,,,,150,150,,3,33,,95,36,Wall Breaching,3,,,,40,,110,20,90,85,,2.4,"Long ranged siege weapon. Artillery decent against buildings, ships, and units."
unit,,,siege tower,,,,200,100,,3,15,,400,20,Wall Breaching,3.5,,3,,,,220,5,90,85,,2.9,"Siege weapon. A rolling tower that can transport units, fire arrows and ram buildings."
unit,,,sky lantern,,,,,,,0,,,5,25,,,,,,,,,15,30,80,,3,"Flying scout. Has no attack, but can only be attacked by ranged units."
unit,,,slinger,,,,55,25,,2,13,,60,19,Ranged Attack,1, AbstractArcher:  3.00,17,,3,,,15,40,99,,4,Counter to ranged soldiers. Ranged soldier only good against other ranged soldiers.
unit,,,son of osiris (hero),,,,,,,0,,,420,20,,,,,,,,,30,50,99,,3.6,Hero. A demigod Pharaoh with all the powers of a Pharaoh and the ability to fire chain lightning bolts.
unit,,,spearman,,,50,,25,,2,12,,80,16,Melee Attack,1," AbstractCavalry:  1.50,  Building:  1.60",0.75,7,,,,40,15,99,,5,Counter cavalry. Infantry only good against cavalry.
unit,,,sphinx,,,,,120,20,3,17,,300,16,Melee Attack,1.3," MythUnit:  3.00,  Hero:  0.50",1,15,,,9,45,60,80,,5.3,Myth unit. A fast unit that turns into a sand vortex to attack. Good against human soldiers and buildings.
unit,,,stymphalian bird,,,,200,50,25,3,10,,400,17,Ranged Attack,1.8," MythUnit:  3.00,  Hero:  0.25",,,14,,,15,45,80,,3.8,Ranged myth unit. Attacks units from the air. Can only be attacked by ranged units. Good against human soldiers.
unit,,,taotie,,,,,260,20,3,20,,650,18,Devour,2," MythUnit:  2.00,  Hero:  0.50",16,,,25,,55,50,80,,4.8,Myth unit that gains strength as it devours human soldiers with its special ability. Good against human soldiers.
unit,,,taowu,,,275,,,28,4,20,,780,16,Melee Attack,2," MythUnit:  2.00,  Hero:  0.50",1.5,20,,,90,50,75,80,,3.2,Siege myth unit with high durability. Can charge to temporarily increase movement speed. Good against buildings.
unit,,,tengu,,,,200,,15,3,20,,600,16,Melee Attack,0.8," MythUnit:  3.00,  Hero:  0.50",0.5,16,,,,35,55,80,,5.3,"Myth unit. A winged swordsman who leaps into battle, boosting its stats. Good against human soldiers."
unit,,,the argo (hero),,,,200,,4,4,25,,480,20,Ranged Attack,2, MythUnit:  3.50,16,,16,,,25,40,15,,6,Trireme Hero. Good against myth units. Can transport units.
unit,,,theseus,,,100,50,,,2,5,,190,16,Melee Attack,1, MythUnit:  12.00,0.75,1.62,,,,35,40,99,,4.3,Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.
unit,,,throwing axeman,,,,50,40,,2,15,,65,16,Ranged Attack,1.5, AbstractInfantry:  3.00,11,6,,,,30,15,99,,4,"Infantry, Ranged Soldier. Counter infantry only good against other infantry."
unit,,,tiger cavalry (dismounted),,,,,,,2,,,45,16,Melee Attack,1," AbstractCavalry:  1.50,  Building:  1.60",1,7,,,,15,20,99,,5,Infantry. Dismounted Tiger Cavalry.
unit,,,tiger cavalry,,,115,,50,,3,9,,170,16,Melee Attack,1.2," AbstractArcher:  1.50,  AbstractCavalry:  1.50",1,13,,,,25,35,99,,5,"Elite, heavily armored cavalry who dismounts and fights on when felled. Good against cavalry and ranged soldiers."
unit,,,titan atlantean,,,,,,,10,,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,,3.75,Myth unit. Powerful against all units and buildings.
unit,,,titan chinese,,,,,,,10,,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,,3.75,Myth unit. Powerful against all units and buildings.
unit,,,titan egyptian,,,,,,,10,,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,,3.75,Myth unit. Powerful against all units and buildings.
unit,,,titan greek,,,,,,,10,,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,,3.75,Myth unit. Powerful against all units and buildings.
unit,,,titan japanese,,,,,,,10,,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,,3.75,Myth unit. Powerful against all units and buildings.
unit,,,titan norse,,,,,,,10,,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,,3.75,Myth unit. Powerful against all units and buildings.
unit,,,toxotes,,,,55,35,,2,15,,65,18,Ranged Attack,1.1, AbstractInfantry:  1.25,15,,6,,,15,15,99,,4,Ranged soldier. Good against infantry.
unit,,,transport ship atlantean,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,,5.3,Transports units. Has no attack. Right-click to enter.
unit,,,transport ship chinese,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,,5.3,Transports units. Has no attack. Right-click to enter.
unit,,,transport ship egyptian,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,,5.3,Transports units. Has no attack. Right-click to enter.
unit,,,transport ship greek,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,,5.3,Transports units. Has no attack. Right-click to enter.
unit,,,transport ship japanese,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,,5.3,Transports units. Has no attack. Right-click to enter.
unit,,,transport ship norse,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,,5.3,Transports units. Has no attack. Right-click to enter.
unit,,,trireme,,,,100,50,,3,16,,305,20,Ranged Attack,1.5,,15,,8,,,50,30,5,,5.5,Arrow ship. Good against close-combat ships. Can transport units.
unit,,,troll,,,,160,,15,2,15,,250,16,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.25",14,,18,,,50,50,80,,3.5,Myth unit. A slow but strong ranged unit who throws rocks. Good against human soldiers.
unit,,,turma (hero),,,,80,70,2,2,,,95,18,Ranged Attack,1.8," AbstractArcher:  4.00,  MythUnit:  8.00",14,,6.5,,,15,40,99,,5.3,"Ranged Soldier, Cavalry, Hero. Mounted javelineer hero only good against other ranged soldiers and myth units."
unit,,,turma,,,,45,40,,2,9,,85,16,Ranged Attack,1.8, AbstractArcher:  4.00,14,,5.5,,,15,40,99,,5,"Ranged Soldier, Cavalry. Mounted javelineer only good against other ranged soldiers."
unit,,,umibozu,,,,225,,15,4,25,,1200,30,Melee Attack,3," MythUnit:  2.00,  Hero:  0.25",1,80,,,40,65,60,80,,2.8,Myth unit. A massive dark humanoid that can teleport between any bodies of water. Good against ships and decent against human soldiers.
unit,,,valkyrie,,,200,,,18,3,17,,375,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.50",1,14,,,,50,55,80,,6,Myth unit. A warrior maid that can heal allied units. Good against human soldiers.
unit,,,vengeful shinigami,,,,275,,25,3,15,,600,16,Charged Ranged Attack,3.3,,8,,,40,,35,50,80,,4.8,"Myth unit. An undead spirit that shoots lightning at enemies and respawns when defeated, becoming more powerful. Good against human soldiers."
unit,,,villager greek,,,50,,,,1,18,,55,14,Ranged Attack,2,,12,,12,,,25,35,99,,3.8,Villagers gather resources and construct buildings.
unit,,,wadjet,,,,150,,15,2,17,,260,20,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.25",18,,12,,,25,25,80,,3.8,Myth unit. A magical cobra that can spit venom. Good against human soldiers.
unit,,,walking woods,,,,100,,10,0,,,240,16,Melee Attack,2, Hero:  0.50,0.5,16,,,30,30,60,80,,3.5,Myth unit. Animated trees sent by the gods.
unit,,,wanyudo,,,,140,,16,2,15,,300,16,Ranged Attack,1.8," MythUnit:  2.00,  Hero:  0.25",6,,,,35,20,65,80,,4,Myth unit. A flaming demonic wheel that breathes fire at enemies. Great against buildings and decent against human soldiers.
unit,,,war barge,,,,90,45,,3,12,,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,10,60,10,,4.8,Siege ship. Good against arrow ships and buildings.
unit,,,war elephant,,,180,,70,,5,14,,450,16,Melee Attack,1.4," Building:  4.00,  AbstractArcher:  1.50",0.75,20,,,,25,45,99,,2.9,"Cavalry. A strong, slow and expensive unit good against buildings and anything that gets in its way."
unit,,,war turtle,,,225,,,15,4,9,,1320,16,Melee Attack,1.7," MythUnit:  2.00,  Hero:  0.50",2,60,,,40,40,70,80,,5.3,Myth unit. Massive turtle. Good against ships.
unit,,,wasen,,,,100,50,,3,16,,290,20,Ranged Attack,1.5,,15,,8,,,50,30,5,,5.9,Arrow ship. Good against close-combat ships. Can transport units.
unit,,,water carnivora,,,,,,25,0,,,550,16,Melee Attack,1," AbstractVillager:  O.25,  Hero:  0.25",3,30,,,,35,30,30,,Immoveable,Myth unit. This living plant can sink ships or swallow soldiers.
unit,,,wen zhong (hero),,,150,150,200,8,4,30,,450,16,Melee Attack,2, MythUnit:  4.00,0.5,20,,,50,30,60,99,,5.8,"Cavalry Hero that harnesses celestial powers to inflict a large area attack. Good against everything, but especially myth units. Switches to a ranged attack to fight flying units. Collects Relics."
unit,,,white horse cavalry,,,45,,85,,3,7,,155,22,Melee Attack,1.2, AbstractArcher:  1.75,1,13,,,,10,40,99,,6,Cavalry. Unit with a ranged special attack. Good against ranged soldiers.
unit,,,wretch,,,,,25,5,0,,,80,16,Melee Attack,0.9, Hero:  0.25,0.5,4,,,,25,30,80,,4,"Myth unit. A reanimated corpse who claws at enemies. Good against human soldiers, but only lasts a short time."
unit,,,wuzu javelineer,,,,75,10,,2,14,,70,18,Ranged Attack,1.2, AbstractArcher:  3.50,16,,4.5,,,10,40,99,,4.75,Mobile ranged soldier. Good against other ranged soldiers.
unit,,,xuanwu,,,170,170,,15,4,12,,1200,20,Melee Attack,1.7," MythUnit:  1.50,  Hero:  0.50",2,30,,,20,50,70,80,,6,Myth unit. Amphibious tortoise and snake duo with heavy armor. Good against human soldiers and ships.
unit,,,yang jian (hero),,,200,,300,8,4,30,,420,16,Melee Attack,1.4, MythUnit:  7.00,1,25,,,,35,40,99,,4.5,"Hero that summons his faithful companion to aid him in battle. Good against everything, but especially myth units. Switches to a ranged attack to fight flying units. Collects Relics."
unit,,,yari spearman,,,55,,25,,2,10,,105,16,Melee Attack,1," AbstractCavalry:  3.00,  Building:  1.60",0.75,6,,,,40,10,99,,4.8,Counter cavalry. Infantry only good against cavalry.
unit,,,yazi,,,,140,,16,2,18,,300,17,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.25",1,16,,,,25,60,80,,5.3,Fast myth unit that can teleport to enemies. Good against human soldiers.
unit,,,yinglong,,,,,,,0,,,2400,40,,,,,,,,,55,55,80,,4.5,"Myth unit. Legendary dragon that summons wind, rain, and calls down divine thunder. Can only be attacked by ranged units. Attacks with thunderbolts that inflict damage in a large area. Good against everything."
unit,,,yumi archer,,,,50,40,,2,15,,65,20,Ranged Attack,1.5, AbstractInfantry:  1.25,18,,8,,,15,15,99,,4,Ranged soldier. Good against infantry.
unit,,,yumi horse archer,,,,75,45,,3,16,,90,17,Ranged Attack,1,,15,,9,,,10,25,99,,5,Fast mounted ranged soldier. Good against infantry.
unit,,,zhuque (landed),,,,100,200,30,4,24,,650,20,,,,,,,,,30,30,80,,Immoveable,Myth unit. This Zhuque has temporarily landed to regenerate. Cannot attack.
unit,,,zhuque,,,,100,200,30,4,24,,650,20,Ranged Attack,4," MythUnit:  2.00,  Hero:  0.25",5,20,,,,30,30,80,,4,"Myth unit. Gathers spiritual fire with its wings, creating a fiery whirlwind below to knock enemies away. Good against buildings and human soldiers."
unit,,,onna_musha (hero),,,130,,90,2,4,25,,200,16,Melee Attack,1.5," MythUnit:  6.00,  Building:  1.60",0.75,16,,,,45,20,99,,4.3,
unit,,,ramming_galley,,,,90,45,,3,16,,320,16,Melee Attack,1.5,,2,25,,,,30,10,50,,7,
unit,,,ramming_wasen,,,,100,50,,3,16,,320,16,Melee Attack,1.5,,2,25,,,,30,10,50,,7.4,
building,,,armory norse,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,,Immoveable,"Allows you to improve the weapons and armor of infantry, ranged soldiers, cavalry, and ships."
building,,,citadel center norse,,,,350,350,,0,,150,3600,26,Ranged Attack,1,,20,,12,,,55,90,10,,Immoveable,A heavily fortified Town Center which trains units and researches technologies faster.
building,,,dock norse,,,,100,,,0,,30,1600,22,Ranged Attack,1,,18,,8,,,40,90,5,,Immoveable,"Constructs ships and naval myth units, and serves as a drop site for fish and other food. Must be built near water."
building,,,dwarven armory,,,,135,,,0,,40,1080,9,,,,,,,,,40,90,5,,Immoveable,"Thor's special Armory improves the weapons and armor of infantry, cavalry, and ships. The Dwarven Armory also spawns a free Dwarf for each upgrade that it researches, and researches faster in later ages."
building,,,farm norse,,,,75,,,0,,10,200,6,,,,,,,,,40,80,5,,Immoveable,"Farms provide unlimited Food, but are slower than hunting or herding."
building,,,great hall,,,,135,,,0,,40,1620,9,,,,,,,,,40,90,5,,Immoveable,Norse Great Halls train and upgrade heroes and cavalry.
building,,,hill fort,,,,270,300,5,0,,135,2700,26,Ranged Attack,1, Ship:  3.00,,,10,,,50,90,5,,Immoveable,Norse Hill Forts fire arrows and garrison units. They also train elite units and siege weapons.
building,,,house norse,,,,50,,,0,,15,450,9,,,,,,,,,40,90,5,,Immoveable,"Supports 10 population. After you reach the House build limit, you must construct Town Centers to support additional population."
building,,,longhouse,,,,90,,,0,,25,1080,9,,,,,,,,,40,90,5,,Immoveable,Norse Longhouses train and upgrade basic infantry units.
building,,,market norse,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,,Immoveable,You can train Caravans and trade resources at your Market.
building,,,sentry tower norse,,,,150,100,,0,,60,600,24,Ranged Attack,1, Ship:  3.00,,,8,,,50,90,5,,Immoveable,Provides line of sight around your town and lets units garrison inside. Upgrade them to fire upon enemies.
building,,,temple norse,,,,150,150,,0,,40,1200,9,,,,,,,,,40,90,5,,Immoveable,Trains powerful myth units and provides mythological improvements granted by the gods.
building,,,town center norse,,,,350,350,,0,,150,2400,25,Ranged Attack,1,,18,,10,,,50,90,10,,Immoveable,"Trains Villagers, advances through the Ages, is a drop site for all resources, and supports population. Town Centers are built over Settlements."
building,,,village center norse,,,,350,350,,0,,150,1200,24,Ranged Attack,1,,18,,6,,,40,90,5,,Immoveable,Trains Villagers and is a drop site for all resources. Village Centers can be built anywhere on the map.
building,,,wonder odin norse,,,5000,5000,5000,,0,,5400,9999,9,,,,,,,,,40,90,5,,Immoveable,"Constructing a Wonder advances you to the Wonder Age, where the Gods will reward you with great world ending power."
building,,,wooden wall connector norse,,,,,3,,0,,5,300,1,,,,,,,,,50,90,5,,Immoveable,"Protects towns. Shift-click to place wall sections, and then click to place the wall."
building,,,wooden wall gate norse,,,,,15,,0,,15,500,1,,,,,,,,,50,90,5,,Immoveable,Gates provide access through walls.
building,,,wooden wall meduim norse,,,,,9,,0,,15,600,1,,,,,,,,,50,90,5,,Immoveable,"Protects towns. Shift-click to place wall sections, and then click to place the wall."
building,,,wooden wall small,,,,,6,,0,,15,600,1,,,,,,,,,50,90,5,,Immoveable,"Protects towns. Shift-click to place wall sections, and then click to place the wall."
tech,,,champion cavalry norse,,,,,,,,,,,,,,,,,,,,,,,,,"• Upgrades Cavalry to Champion Cavalry, with more
hitpoints and attack.
• Cavalry: Hitpoints +20%
• Cavalry: Melee Attack Damage (All Types) +20%
• Cavalry: Adds 1.00 LOS
"
tech,,,champion infantry norse,N,"HF, LH",,,,,,,,,,,,,,,,,,,,,,,"• Upgrades Infantry to Champion Infantry, with more
hitpoints and attack.
• Infantry: Hitpoints +20%
• Infantry: All Actions Damage (All Types) +20%
• Infantry: Adds 1.00 LOS
• Throwing Axeman: Adds 1.00 to Ranged Attack Maximum
Range
"
tech,,,conscript greathall soldiers,,,,,,,,,,,,,,,,,,,,,,,,,"• Great Hall units train faster.
• Godi (Hero): Train time -20%
• Jarl: Train time -20%
• Raiding Cavalry: Train time -20%
• Hersir (Hero): Train time -20%
"
tech,,,conscript longhouse soldiers,,,,,,,,,,,,,,,,,,,,,,,,,"• Longhouse units train faster.
• Hirdman: Train time -20%
• Throwing Axeman: Train time -20%
• Berserk: Train time -20%
"
tech,,,draft horses norse,,,,,,,,,,,,,,,,,,,,,,,,,"• Increases siege weapon speed.
• Siege Weapon: Speed +20%
"
